Usename,Time,Like_count,Floor_number,Sourse,Comments
·ForeverKun_密儿·,Thu Mar 26 19:49:53 +0800 2020,6,291,,"""哈哈哈哈"""
妙嗑鸡米花,Thu Mar 26 19:52:29 +0800 2020,6,622,,"""哈哈哈哈哈被迫营业哈哈哈哈蔡pd加油哈哈哈哈"""
眼袋侠TOP,Thu Mar 26 22:26:08 +0800 2020,6,4330,,"""我看了好多遍，喜欢蔡徐坤的孩子们，相信天马上就亮啦，他的好会被大家看见的"""
IKUN珊珊唷,Thu Mar 26 19:52:55 +0800 2020,5,660,,"""蔡徐坤太可爱啦"""
甜葵_菜瓜,Thu Mar 26 19:47:11 +0800 2020,5,39,,"""太可爱啦，期待今晚蔡pd"""
云月木公,Thu Mar 26 23:22:30 +0800 2020,7,5131,,"""妈呀太可爱了太可爱了，路人路人我真是路人"""
叽喳萌,Thu Mar 26 21:15:08 +0800 2020,12,2519,,"""傅如乔太可爱了“想哭你就哭吧” 随即伸出爱的抱抱 又有实力又温暖又可爱的女孩子 麻烦大家多多pick!"""
artist_kun,Thu Mar 26 19:56:41 +0800 2020,6,983,,"""哈哈哈是害羞的蔡pd"""
菀·_·IKUN,Thu Mar 26 19:52:24 +0800 2020,4,615,,"""哈哈哈哈太可爱了吧！蓝色西装也太好看了"""
乐天天天都lucky,Thu Mar 26 19:53:17 +0800 2020,6,706,,"""天啊谢谢谢谢谢谢蔡徐坤你真的全宇宙最可爱"""
他点亮了802号星球,Thu Mar 26 19:50:39 +0800 2020,7,397,,"""蔡徐坤：成了PD了，我要高冷！"""
十个冰淇淋,Thu Mar 26 21:39:47 +0800 2020,6,3336,,"""蔡徐坤：莫搞我莫搞我！我不会可爱的！"""
人形貓咪neko,Thu Mar 26 21:17:22 +0800 2020,4,2595,,"""这个工作好辛苦嗷！(猫咪咆哮) @蔡徐坤 #亲亲#"""
葵葵的麦克风,Thu Mar 26 21:47:19 +0800 2020,3,3508,,"""啊啊啊啊啊啊蔡徐坤太可爱了"""
坚守阵地的葵妈,Thu Mar 26 21:20:20 +0800 2020,2,2693,,"""这个工作好辛苦，哈哈哈哈哈哈哈，蔡pd在线撒娇可还行"""
小小恋KUN,Thu Mar 26 19:50:19 +0800 2020,2,345,,"""哈哈哈哈哈哈哈哈哈哈哈哈！这里没剪掉耶~超可爱！"""
奶甜小璐,Thu Mar 26 23:25:22 +0800 2020,3,5157,,"""啊呀，再次被圈粉，蔡徐坤好可爱呀"""
狮子座勇敢的心_916,Thu Mar 26 22:18:47 +0800 2020,3,4192,,"""这表情怎么那么像蔡大爷，哈哈哈"""
_经不住坤哥的小猫咪_,Thu Mar 26 19:50:46 +0800 2020,2,417,,"""卧槽卧槽卧槽卧槽卧槽卧槽卧槽啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊"""
不是你的Camille,Thu Mar 26 22:48:29 +0800 2020,2,4717,,"""呀！这个男人好可爱呦"""
不重小不重,Fri Mar 27 09:05:03 +0800 2020,1,6119,,"""蔡徐坤：“你相信一句话吗？做好准备的人，一定会得到一颗糖 。”"""
向阳花木以为春Kun,Thu Mar 26 23:01:36 +0800 2020,1,4926,,"""哈哈哈好可爱"""
八月是你的小狮子,Thu Mar 26 22:49:29 +0800 2020,1,4736,,"""晕倒 太可爱了"""
富婆的快乐,Thu Mar 26 22:30:42 +0800 2020,2,4421,,"""可爱死了要！！"""
小渔老师k,Thu Mar 26 22:10:59 +0800 2020,2,4016,,"""这个男人怎么可以这么帅"""
女友在线冲浪,Thu Mar 26 21:38:23 +0800 2020,2,3287,,""""""
ikun_抹芋,Thu Mar 26 21:34:17 +0800 2020,2,3149,,"""哇啊啊太可爱了呀！！"""
桃子微love芹菜炒牛肉,Thu Mar 26 21:27:28 +0800 2020,2,2948,,"""真是太可爱了"""
蔡徐坤的愣愣1992,Thu Mar 26 21:23:12 +0800 2020,1,2799,,"""蔡徐坤太可爱了，被迫营业"""
_AnDaPa,Thu Mar 26 21:22:58 +0800 2020,1,2792,,"""完了，有点可爱啊！"""
小葵葵向太阳,Thu Mar 26 21:21:46 +0800 2020,1,2743,,"""#蔡徐坤被迫营业# 可可爱爱的小葵啊！"""
Ikun是我唯一的名字,Thu Mar 26 21:06:08 +0800 2020,1,2237,,"""蔡pd简直不能太可爱了！@蔡徐坤"""
IKunsoso,Thu Mar 26 20:25:56 +0800 2020,1,1650,,"""我的蓝朋友太可爱辽～"""
睡觉暴富了,Thu Mar 26 20:05:11 +0800 2020,1,1332,,"""太可爱辽 不要再为难他啦哈哈哈哈哈哈哈哈哈😂"""
KUN坤葵,Thu Mar 26 20:02:36 +0800 2020,1,1268,,"""哈哈蔡pd也太可爱了吧"""
单相思念,Thu Mar 26 19:59:42 +0800 2020,1,1160,,"""#蔡徐坤被迫营业#"""
坤的Sophy,Thu Mar 26 19:58:51 +0800 2020,1,1118,,"""啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊……请原谅我不会说话了"""
睡神坤坤,Thu Mar 26 19:58:47 +0800 2020,1,1115,,"""哈哈哈哈哈哈哈哈哈哈我们看的好开心诺"""
喜歡獅子坤,Thu Mar 26 19:57:11 +0800 2020,1,1020,,"""期待今晚与蔡PD不见不散"""
小葵最爱芹菜炒牛肉芒果冰,Thu Mar 26 19:54:45 +0800 2020,1,855,,"""我看好你哟，我得蓝朋友"""
K_Rayn宝妈,Thu Mar 26 19:52:23 +0800 2020,1,613,,"""蔡PD怎么这么可爱！"""
August_陌少呆,Thu Mar 26 19:52:03 +0800 2020,2,578,,"""哈哈哈哈被抓了请有眨眨眼🙊"""
蔡K-,Thu Mar 26 19:51:57 +0800 2020,2,563,,"""你明明很会@蔡徐坤"""
天使宝贝ws,Thu Mar 26 19:51:43 +0800 2020,1,538,,"""蔡徐坤太可爱了"""
