Usename,Time,Like_count,Floor_number,Sourse,Comments
摇滚红石榴,Mon Mar 16 17:54:34 +0800 2020,45,140,,"""ELLA老师太可爱了，好喜欢她的情商和性格"""
一棵小菜裹虾仔,Mon Mar 16 17:50:41 +0800 2020,38,112,,"""Ella也太可爱了吧哈哈哈哈哈！虽然她现在不是顶流，但是她们是女团天花板啊"""
墨言要好运暴富,Mon Mar 16 17:41:44 +0800 2020,35,83,,"""ELLA真的很好。"""
小王子的盐酥姬-,Mon Mar 16 17:35:34 +0800 2020,36,50,,"""真的觉得ella好好啊"""
追梦yanyan,Mon Mar 16 17:40:26 +0800 2020,29,77,,"""超喜欢S.H.E"""
xusiling_,Mon Mar 16 17:39:37 +0800 2020,27,75,,"""🐍 当年真的很累啊"""
第四行诗,Mon Mar 16 17:51:51 +0800 2020,36,119,,"""没搞过偶 看了婧第一期 呜呜蔡徐坤真的又帅又奶"""
YoungKuns,Mon Mar 16 17:41:02 +0800 2020,28,80,,"""大家都很好，都很优秀，就还是希望无论怎么样，未知全貌不予置评，网络暴力真的太可怕了，我们我不应该活在评论里，任何人都是一样，他们也很脆弱"""
待到金海满天下,Mon Mar 16 17:59:08 +0800 2020,25,158,,"""Ella姐很温柔很好啊"""
一只宅女而已,Mon Mar 16 17:57:12 +0800 2020,21,149,,"""不喜欢蔡徐坤没关系，有段时间，到处充斥着谩骂，各种脏话问候他全家十八层地狱啥的。真的，嘴下留德吧。好歹，他也是条人命阿！"""
柠檬味zz的花香y,Mon Mar 16 17:38:36 +0800 2020,20,70,,"""Ella老师好暖"""
你是海底捞月,Mon Mar 16 17:52:40 +0800 2020,19,122,,"""感谢ella姐姐对小困的照顾"""
我想改名儿了,Mon Mar 16 17:46:28 +0800 2020,20,94,,"""艾拉老师真的好可爱啊"""
番茄的茄儿,Mon Mar 16 17:34:15 +0800 2020,31,38,,"""蔡徐坤在星动亚洲的时候 就很喜欢他了。话不多，但一直在很努力"""
我是可爱的昵称,Mon Mar 16 17:50:38 +0800 2020,19,111,,"""虽然我get不太到蔡徐坤的歌……但是感觉他人蛮好的，情商蛮高～"""
咨言,Mon Mar 16 18:38:13 +0800 2020,25,227,,"""Ella个性真好，好想念SHE哦演唱会演唱会，听到我的呼声了吗"""
超级小葵Hua,Mon Mar 16 17:39:05 +0800 2020,22,72,,"""Ella老师好温柔，蔡徐坤也在用自己的实力告诉大家他值得我们这些粉丝爱他，也希望所有追梦的小伙伴加油＾０＾~"""
呀小葵花呐,Mon Mar 16 17:32:55 +0800 2020,22,23,,"""蔡徐坤和Ella老师就像姐弟一样，关系一直很好呢"""
吃辣很厉害的牛爷爷,Mon Mar 16 18:25:17 +0800 2020,12,216,,"""所以she什么时候演唱会！"""
ulxxgnim,Mon Mar 16 17:58:28 +0800 2020,16,153,,"""ella真的好适合综艺啊"""
阿hjx华,Mon Mar 16 17:36:16 +0800 2020,18,56,,"""蔡徐坤能拿篮球梗自黑 就不该再黑他了"""
余酉禾不是余酥-,Mon Mar 16 17:32:49 +0800 2020,15,22,,"""菜PD真的超暖的啊，心态好还细心，真的一路过来太不容易了"""
CErin_,Mon Mar 16 19:52:35 +0800 2020,17,328,,"""看了青你2对cxk好感度🆙以前那些无缘无故一直黑他的人真的很过分好心疼这位少年他真的是很好很温暖的人啊"""
33062_星球,Mon Mar 16 18:21:50 +0800 2020,13,209,,"""喜欢Ella的性格"""
裴節制24271,Mon Mar 16 18:10:11 +0800 2020,12,187,,"""S.H.E的光輝也是建立在風風雨雨的基礎上"""
泡沫沫Mine,Mon Mar 16 17:59:02 +0800 2020,10,157,,"""小太阳🌞"""
煮花丸,Mon Mar 16 17:36:00 +0800 2020,10,54,,"""姐姐青春貌美才华横溢"""
·甜葵販賣機·,Mon Mar 16 18:44:44 +0800 2020,15,240,,"""“因为你去看待别人怎么看待你，不如就是想清楚你自己的初心是什么，你为什么要做这件事，为什么要坚持，你喜欢的是什么”                                      ——蔡徐坤 """
是菜小kun,Mon Mar 16 18:12:49 +0800 2020,9,195,,"""Ella老师的采访真的又有趣又有意义希望这个网络世界对所有人少一点恶意吧"""
ZY要和袁医师去私奔,Mon Mar 16 17:48:25 +0800 2020,13,101,,"""陈嘉桦真是没有另外两个在也可以讲相声🤣🤣🤣"""
莫扎爾特的音謎,Mon Mar 16 17:33:14 +0800 2020,10,26,,"""我爱你Ella！！！！"""
颖心cherry228,Tue Mar 17 07:59:55 +0800 2020,8,504,,"""可以说她们当初比现在很多女团都要辛苦 出道便遇上911事件 后来又遇上风灾 上山下海 走钢丝 拉拉队 拼命上通告 Ella因为参加节目从楼上跳下去腰部受伤...真的很多很多"""
拨云剪月光,Mon Mar 16 18:54:33 +0800 2020,8,264,,"""Ella老师说的真好！"""
番茄炒鸡蛋dan,Mon Mar 16 17:56:43 +0800 2020,9,147,,"""感谢ella姐对小蔡的照顾开导 """
积极小la,Mon Mar 16 17:40:33 +0800 2020,6,78,,"""啊啊啊啊蔡徐坤！我可以！！"""
彭亦弦,Mon Mar 16 18:21:48 +0800 2020,10,208,,"""Ella姐也好可爱了，大家都不容易吧"""
可爱鬼nn,Mon Mar 16 17:48:21 +0800 2020,6,100,,"""ella 真的好搞笑哦"""
雯哥w-,Mon Mar 16 17:36:57 +0800 2020,8,61,,"""蔡徐坤加油"""
lexon_,Mon Mar 16 17:33:01 +0800 2020,3,25,,"""真的太蔡了"""
0824我喜你,Mon Mar 16 17:58:12 +0800 2020,6,151,,"""把上一秒还笑着的我给讲哭了"""
全世界最可爱的蔡小葵cxk,Mon Mar 16 17:36:02 +0800 2020,7,55,,"""谢谢前辈"""
笑_葡萄橙子荔枝石榴公主,Mon Mar 16 17:32:27 +0800 2020,5,18,,"""蔡也是不容易"""
-打不倒的壮壮啊-,Mon Mar 16 20:51:39 +0800 2020,3,363,,"""我爱kunwuwuwu"""
tang糖果-Jaina,Mon Mar 16 17:52:56 +0800 2020,7,125,,"""当老师当上瘾了"""
隔人扣篮大师,Mon Mar 16 17:37:24 +0800 2020,6,64,,"""守护全世界最好的坤坤"""
波动着我的心神,Mon Mar 16 18:35:38 +0800 2020,9,225,,"""ella这么可爱的吗"""
FU_XN0428,Mon Mar 16 18:24:25 +0800 2020,6,214,,"""她的情商很高！"""
抱着橘子的猴头菇,Mon Mar 16 18:21:25 +0800 2020,6,207,,"""我好喜欢Ella！！！"""
老农峰,Mon Mar 16 17:31:20 +0800 2020,4,1,,"""期待坤坤的表现"""
凤滢先天性颓废,Mon Mar 16 18:44:52 +0800 2020,4,241,,"""感谢ella姐姐对小困的照顾"""
远行客某某,Mon Mar 16 18:01:02 +0800 2020,7,161,,"""我好喜欢听Ella讲话哦！！！ 讲故事也好有意思！！！她好有趣！！"""
好爱吃年糕,Mon Mar 16 17:45:58 +0800 2020,7,93,,"""ella的采访好有趣哈哈哈"""
jing867,Mon Mar 16 17:53:02 +0800 2020,4,127,,"""哈哈，还是那个味道，还是我认识的那个Ella"""
吳嘉樂JALE,Mon Mar 16 17:44:39 +0800 2020,2,89,,""""""
牛牛妞妞吖,Mon Mar 16 17:42:10 +0800 2020,7,84,,"""能说这话的都是噩梦中走过一圈的人，躲在屏幕后方发起网络暴力的人，现实生活中往往都是失败者"""
玺气烊烊小漂亮,Tue Mar 17 00:50:31 +0800 2020,5,477,,"""网络暴力真的令人作呕，别人要走的路不需要他们去判断对或错，他们也没资格去评头论足别人，希望键盘侠能善良，艺人们要勇敢！"""
猪咪的小毛,Mon Mar 16 18:34:34 +0800 2020,4,224,,"""Ella三观好正"""
请你一夜暴富,Mon Mar 16 17:49:00 +0800 2020,4,105,,"""我家ella真的好可爱"""
爱而唯一甄心萱桦,Mon Mar 16 19:20:35 +0800 2020,3,302,,"""陈嘉桦  劲宝竟然会说出“麻麻，你要崩溃了吧”这种语言！！！好可爱的劲宝"""
阿熊阿猫,Mon Mar 16 18:24:06 +0800 2020,4,212,,"""陈嘉桦 解接的采访从来不缺奇特的爆点"""
苏冥儿久旱逢庚霖,Mon Mar 16 18:09:58 +0800 2020,3,185,,"""Ella太好笑了哈哈哈哈"""
九久鹿归,Mon Mar 16 18:08:57 +0800 2020,5,181,,"""我可太喜欢看Ella的采访了"""
暧苡矀還在,Mon Mar 16 18:06:46 +0800 2020,5,179,,"""一直都很喜欢ella，个性好。"""
quintytao,Mon Mar 16 17:56:01 +0800 2020,5,145,,"""ella采访每次都好好笑 @Star小盆友吖"""
