Usename,Time,Like_count,Floor_number,Sourse,Comments
喜歡獅子坤,Wed Mar 18 14:17:03 +0800 2020,3,779,,"""時间会证明一切"""
苏木恋茯苓,Wed Mar 18 13:14:26 +0800 2020,3,580,,"""作品是最好的证明，一切打不倒我们的，会让我们更强大。坚持热爱，继续前行。@蔡徐坤"""
文95068,Wed Mar 18 18:53:00 +0800 2020,2,1172,,"""坚定所热爱的，无畏前行！加油，蔡徐坤！"""
是你眼中的星星啊,Wed Mar 18 12:57:11 +0800 2020,2,491,,"""一次次出彩的舞台，一首首独具个人特色的原创歌曲，他用作品回应所有声音，我相信时间会证明一切。"""
小葵hongyiiiiii,Wed Mar 18 12:35:26 +0800 2020,2,40,,"""用热爱与坚持回应"""
82号驯狮少女,Wed Mar 18 12:35:56 +0800 2020,2,164,,"""时间会证明一切，你的作品，是舞台"""
qpencil,Wed Mar 18 21:44:17 +0800 2020,1,1328,,"""唯有热爱 才得始终"""
J_ryeogiii,Wed Mar 18 13:32:00 +0800 2020,1,654,,"""作品就是他最好的盔甲 时间证明一切"""
AllAboutLovinU,Wed Mar 18 13:25:06 +0800 2020,1,621,,"""用作品说话@蔡徐坤"""
大背头的猪咪,Wed Mar 18 13:17:44 +0800 2020,1,590,,"""花花世界 静守己心"""
地狱宵伽,Wed Mar 18 12:53:22 +0800 2020,1,444,,"""坚持用作品说话"""
EKekkun_,Wed Mar 18 12:48:32 +0800 2020,1,391,,""""""
小球-小葵大奎,Wed Mar 18 12:38:42 +0800 2020,1,210,,"""用时间来证明一切，真好"""
涵雨沁雨IKUN,Wed Mar 18 12:38:27 +0800 2020,1,203,,"""期待蔡徐坤更多新作品"""
8giofdyo,Wed Mar 18 12:34:45 +0800 2020,1,34,,"""呜呜困困冲鸭！"""
爱葵葵的大方,Wed Mar 18 12:34:44 +0800 2020,1,33,,"""时间证明一切"""
Free-朵子,Wed Mar 18 12:34:06 +0800 2020,1,21,,"""作品就是他最好的铠甲！"""
miu诶,Wed Mar 18 12:33:48 +0800 2020,2,15,,"""作品就是他最好的盔甲"""
桂圆八宝粥wss,Wed Mar 18 12:33:20 +0800 2020,2,7,,"""他火帅"""
初心北葵向暖,Wed Mar 18 13:07:07 +0800 2020,1,549,,"""初心与舞台，不辜负与坚持所爱！所有的经历、努力都会幻化成最好的沉淀！@蔡徐坤"""
奎葵太阳_AUG,Wed Mar 18 12:36:22 +0800 2020,2,177,,"""不要着急回应，作品证明一切"""
KK日奈森小亚夢,Wed Mar 18 12:32:51 +0800 2020,1,3,,"""蔡pd!"""
葵葵滑滑梯,Wed Mar 18 20:12:12 +0800 2020,1,1261,,""""""
高冷野女,Wed Mar 18 16:59:06 +0800 2020,1,1028,,""""""
-生菜五花肉,Wed Mar 18 12:36:04 +0800 2020,1,168,,""""""
超级爱菜菜,Wed Mar 18 19:37:27 +0800 2020,1,1238,,"""蔡徐坤"""
辰熙妍汐,Wed Mar 18 16:51:11 +0800 2020,1,1008,,"""坚定目标，热爱你的热爱"""
蔡小葵家Amy,Wed Mar 18 12:40:34 +0800 2020,1,238,,"""初心与舞台 ，不辜负与坚持所爱，   帅气又暖心的青春制作人代表！"""
往后余生都只有蔡徐坤一个人,Wed Mar 18 12:38:57 +0800 2020,1,216,,"""作品就是他最好的铠甲时间会证明一切"""
allfor坤坤,Wed Mar 18 12:38:42 +0800 2020,1,211,,"""时间会证明一切，蔡徐坤好棒"""
·白昼潮汐,Wed Mar 18 12:33:56 +0800 2020,1,17,,"""蔡徐坤冲冲冲优质正能量偶像"""
AiiiStarry,Wed Mar 18 12:33:36 +0800 2020,1,11,,"""一直以来言行一致的小坤"""
justnnn_,Wed Mar 18 12:33:03 +0800 2020,0,4,,"""好的作品才是盔甲吧"""
一只是ikun的彤儿,Thu Mar 19 10:09:08 +0800 2020,0,1436,,"""蔡徐坤"""
酸甜金桔味儿,Wed Mar 18 23:45:10 +0800 2020,0,1394,,"""#青2青春制作人代表蔡徐坤# pick蔡徐坤@蔡徐坤"""
活成自己曾经渴望的模样,Wed Mar 18 23:04:59 +0800 2020,0,1374,,"""哇霍@蔡徐坤"""
辣手非洲猪,Wed Mar 18 22:58:41 +0800 2020,0,1371,,"""真好"""
桑椹子,Wed Mar 18 22:39:36 +0800 2020,0,1363,,"""转发微博"""
妖412,Wed Mar 18 22:37:10 +0800 2020,0,1357,,"""他真的是太通透了"""
August-苏浅,Wed Mar 18 22:15:54 +0800 2020,0,1342,,"""你的作品是舞台，时间越长，越觉得他很难得，很了不起。"""
June-BX,Wed Mar 18 21:45:45 +0800 2020,0,1331,,"""感谢分享"""
无条件为储蓄卡,Wed Mar 18 21:44:58 +0800 2020,0,1329,,""""""
可可甜心菜,Wed Mar 18 21:17:19 +0800 2020,0,1312,,"""作品是他最好的盔甲"""
蹦咔嚓咔蹦脆,Wed Mar 18 21:15:10 +0800 2020,0,1308,,""""""
小小雅籽YY,Wed Mar 18 21:03:45 +0800 2020,0,1294,,"""作品是他最好的盔甲！"""
不上镜的菜,Wed Mar 18 21:03:04 +0800 2020,0,1292,,"""时间会证明一切"""
今生挚爱CR7和蔡徐坤,Wed Mar 18 20:42:25 +0800 2020,0,1286,,"""蔡徐坤说过时间会证明一切"""
仙境里的Alice,Wed Mar 18 20:35:24 +0800 2020,0,1280,,"""头脑清醒又目标明确"""
巾小胖,Wed Mar 18 20:25:35 +0800 2020,0,1269,,"""坤坤加油！"""
一口喝掉802斤菜籽油,Wed Mar 18 20:14:35 +0800 2020,0,1267,,"""初心和作品"""
蝶恋君花熙,Wed Mar 18 20:08:46 +0800 2020,0,1259,,"""💕"""
倩女幽魂coolboy2012,Wed Mar 18 19:38:03 +0800 2020,0,1240,,"""蔡徐坤"""
殇shan98,Wed Mar 18 19:36:27 +0800 2020,0,1234,,"""感谢分享"""
August下巴上没刮干净的小胡子,Wed Mar 18 19:32:13 +0800 2020,0,1229,,"""真棒"""
K我很霸气,Wed Mar 18 19:08:04 +0800 2020,0,1197,,"""时间会证明一切"""
坤坤ikun的小猫咪,Wed Mar 18 18:42:37 +0800 2020,0,1160,,""""""
AriesJessica,Wed Mar 18 18:36:32 +0800 2020,0,1150,,"""清者自清，用作品説話、用舞台明志，時間会証明一切@蔡徐坤"""
木子白的冰,Wed Mar 18 18:24:40 +0800 2020,0,1133,,"""认真负责对待每一个作品"""
L林X-K,Wed Mar 18 18:19:45 +0800 2020,0,1129,,"""时间"""
噜啦噜嘞沥,Wed Mar 18 18:18:50 +0800 2020,0,1128,,"""哥哥!"""
卡拉什尼科夫jj,Wed Mar 18 18:10:26 +0800 2020,0,1118,,"""你的作品是舞台"""
小傻傻菜,Wed Mar 18 18:10:19 +0800 2020,0,1117,,"""作品说话的坤@蔡徐坤"""
浅浅唯爱坤坤,Wed Mar 18 18:08:44 +0800 2020,0,1115,,"""时间证明一切！"""
findalemon,Wed Mar 18 17:49:48 +0800 2020,0,1091,,"""作品就是最好的回应"""
march三川,Wed Mar 18 17:42:24 +0800 2020,0,1081,,""""""
is我还要看小葵,Wed Mar 18 17:38:07 +0800 2020,0,1076,,"""热爱"""
忆若maybe,Wed Mar 18 17:31:31 +0800 2020,0,1067,,""""""
捕获到一只小ikun啊,Wed Mar 18 17:22:42 +0800 2020,0,1055,,"""转发微博"""
今天种一颗菜,Wed Mar 18 17:10:59 +0800 2020,0,1044,,"""舞台就是作品！"""
Os1219,Wed Mar 18 16:55:55 +0800 2020,0,1024,,""""""
amiki在行动,Wed Mar 18 16:54:43 +0800 2020,0,1022,,"""蔡徐坤"""
amiki在行动,Wed Mar 18 16:53:45 +0800 2020,0,1017,,"""转发微博"""
咕咚菇凉,Wed Mar 18 16:52:20 +0800 2020,0,1013,,"""热爱不惧"""
花椰菜的小花,Wed Mar 18 16:50:06 +0800 2020,0,1002,,""""""
vicky爱坤坤宝贝,Wed Mar 18 16:47:27 +0800 2020,0,996,,"""用作品说话，时间会证明一切"""
杨yang安好,Wed Mar 18 16:29:33 +0800 2020,0,974,,"""加油坤"""
wirajuan,Wed Mar 18 16:25:00 +0800 2020,0,968,,"""弟弟加油"""
唯粉坤滴小仙女,Wed Mar 18 16:23:11 +0800 2020,0,964,,"""他的作品就是最好的盔甲！"""
可爱的kakawo,Wed Mar 18 16:22:25 +0800 2020,0,963,,"""作品就是他最好的盔甲"""
困困嘚小猫咪,Wed Mar 18 15:49:30 +0800 2020,0,940,,"""会越来越好的"""
爱kun小媛,Wed Mar 18 15:37:23 +0800 2020,0,925,,"""作品就是最好的盔甲 蔡徐坤"""
脸圆圆的菜包ikun,Wed Mar 18 15:21:19 +0800 2020,0,900,,"""用时间来证明一切"""
amiki在行动,Wed Mar 18 15:18:34 +0800 2020,0,896,,"""转发微博"""
amiki在行动,Wed Mar 18 15:18:29 +0800 2020,0,895,,"""棒！"""
amiki在行动,Wed Mar 18 15:18:19 +0800 2020,0,894,,""""""
妈妈说亲我,Wed Mar 18 15:14:33 +0800 2020,0,890,,""""""
紫衣伊琳娜,Wed Mar 18 15:06:04 +0800 2020,0,878,,"""转发微博"""
房东阿太,Wed Mar 18 15:02:54 +0800 2020,0,873,,"""作品"""
偷菜菜啦_Au,Wed Mar 18 15:02:23 +0800 2020,0,869,,"""用作品说话"""
蔡老头的老灵魂-小尧尧,Wed Mar 18 14:48:13 +0800 2020,0,850,,"""作品就是他最好的盔甲"""
NuncaMuereElAlma,Wed Mar 18 14:30:10 +0800 2020,0,825,,"""用作品说话"""
米老鼠不爱大米爱徐坤,Wed Mar 18 14:30:10 +0800 2020,0,824,,"""作品就是他最好的盔甲@蔡徐坤"""
旃主IKUN,Wed Mar 18 14:25:21 +0800 2020,0,811,,"""作品就是他最好的盔甲"""
KherewegoAgain,Wed Mar 18 14:18:17 +0800 2020,0,784,,"""呜呜呜"""
红枫树林82,Wed Mar 18 14:14:21 +0800 2020,0,770,,""""""
三桥家的青矽,Wed Mar 18 14:13:55 +0800 2020,0,769,,"""作品就是最好的盔甲"""
葵葵CUE燕麦,Wed Mar 18 14:07:09 +0800 2020,0,756,,"""作品即是他最好的盔甲@蔡徐坤"""
北辰·般若,Wed Mar 18 13:55:29 +0800 2020,0,728,,"""坚持所爱就很酷"""
白皮豆豆-Cri,Wed Mar 18 13:55:06 +0800 2020,0,725,,"""好棒啊"""
一只大猫的小猫,Wed Mar 18 13:40:31 +0800 2020,1,681,,"""害，谁不是呢，我后悔偶练播完后才认识的蔡徐坤，也多亏了微博热搜我才点进去看，然后才看完的偶练，然后就疯狂喜欢蔡徐坤，一下子都2年了，时间真的过的好快，如果早一点儿遇到他就可以给他打榜了，幸运的是还好他最后C位出道了，好感人好励志"""
kkd旺仔,Wed Mar 18 13:35:30 +0800 2020,0,660,,"""你的作品 是舞台"""
蔡气滚滚,Wed Mar 18 13:34:41 +0800 2020,0,659,,"""时间证明一切 加油💪"""
美食猪咪博主,Wed Mar 18 13:32:14 +0800 2020,0,656,,"""时间证明一切"""
枕头爱坤,Wed Mar 18 13:28:51 +0800 2020,0,643,,"""用时间证明一切"""
一定陪坤坤好好走下去,Wed Mar 18 13:28:34 +0800 2020,0,641,,"""蔡徐坤加油"""
阿拉奎葵,Wed Mar 18 13:27:45 +0800 2020,0,636,,"""感谢分享"""
阿拉奎葵,Wed Mar 18 13:27:39 +0800 2020,0,634,,"""蔡徐坤蔡徐坤 cxk 巨c  只要心中有热爱@蔡徐坤"""
jerry家的坤坤,Wed Mar 18 13:26:56 +0800 2020,0,631,,"""无需着急回应所有的声音 你的作品就是最好的答案@蔡徐坤"""
陈陈爱吃lemon,Wed Mar 18 13:23:56 +0800 2020,0,617,,""""""
陆筱筱最爱蔡蔡蔡,Wed Mar 18 13:23:47 +0800 2020,0,615,,"""转发微博"""
小小恋猫,Wed Mar 18 13:18:00 +0800 2020,0,592,,"""作品是他最好的盔甲"""
August_陌少呆,Wed Mar 18 13:16:30 +0800 2020,0,584,,""""""
炖蛋怡,Wed Mar 18 13:13:20 +0800 2020,0,577,,"""捍卫心中热爱，作品就是他最强的铠甲@蔡徐坤"""
猫儿小明,Wed Mar 18 13:08:06 +0800 2020,0,556,,"""作品和ikun就是他最好的盔甲，别怪我脸大哈哈cycy"""
爱吃菜菜的土豆,Wed Mar 18 13:05:45 +0800 2020,0,543,,"""坚持热爱"""
artist_kun,Wed Mar 18 13:05:35 +0800 2020,0,542,,"""作品即是他最好的盔甲"""
0802号菜了解一下,Wed Mar 18 13:04:19 +0800 2020,0,536,,"""作品是舞台，也是最好的盔甲 """
安培晴子,Wed Mar 18 13:03:19 +0800 2020,0,528,,"""时间证明一切"""
npc给我红,Wed Mar 18 13:03:17 +0800 2020,0,527,,""""""
你你你_慢点_,Wed Mar 18 13:02:58 +0800 2020,0,523,,""""""
众慕葵葵k,Wed Mar 18 13:02:55 +0800 2020,0,522,,"""说的对"""
Colababe,Wed Mar 18 13:01:02 +0800 2020,0,516,,"""时间会证明一切"""
爱吃菜菜的静儿,Wed Mar 18 13:00:28 +0800 2020,0,512,,"""蔡徐坤优秀"""
菜包丝啊,Wed Mar 18 12:58:39 +0800 2020,0,502,,"""新采访视频"""
Cunk_,Wed Mar 18 12:57:26 +0800 2020,0,496,,"""不要急着回应所有声音 你的作品就是你的舞台"""
相信能吃到这颗糖,Wed Mar 18 12:57:22 +0800 2020,0,493,,"""作品是最硬核的盔甲"""
洋芋couple,Wed Mar 18 12:56:56 +0800 2020,0,488,,"""来啦，蔡pd"""
去吃蔬菜的路上,Wed Mar 18 12:56:29 +0800 2020,0,480,,"""外面的声音打不倒内心的热爱"""
我是一个粉刷匠41,Wed Mar 18 12:56:24 +0800 2020,0,478,,"""还好他走出来了，更加强大"""
葵味软糖_,Wed Mar 18 12:56:23 +0800 2020,0,477,,"""作品就是他最好的盔甲"""
MR-Felice,Wed Mar 18 12:55:47 +0800 2020,0,470,,""""""
跟蔡徐坤有关的粉丝名都取完了,Wed Mar 18 12:55:00 +0800 2020,0,464,,"""优秀的人终会被看见"""
·HardToGet·,Wed Mar 18 12:54:46 +0800 2020,0,461,,""""""
粥粥小猪猪,Wed Mar 18 12:53:59 +0800 2020,0,453,,"""加油积累作品"""
我没烟花绚丽,Wed Mar 18 12:50:41 +0800 2020,0,425,,"""永远寻求突破，永远不懈努力，最终成就闪耀的自己 蔡徐坤一直用作品说话！"""
一百种星辰,Wed Mar 18 12:50:22 +0800 2020,0,419,,"""用作品说话"""
圈儿1018,Wed Mar 18 12:49:22 +0800 2020,0,405,,"""宝贝坤坤。@蔡徐坤 想你"""
一起八月长大,Wed Mar 18 12:47:53 +0800 2020,0,383,,""""""
解忧朱砂痣,Wed Mar 18 12:47:06 +0800 2020,0,359,,"""作品就是他最好的盔甲"""
浮鄢然,Wed Mar 18 12:47:02 +0800 2020,0,355,,"""没错"""
最爱大睿宝,Wed Mar 18 12:46:51 +0800 2020,0,353,,"""你的作品是舞台！作品就是你的盔甲！"""
和蔼的格格巫,Wed Mar 18 12:46:31 +0800 2020,0,348,,"""专注作品专注音乐，这样的蔡徐坤值得光芒万丈"""
暴富葵葵子次牛排0802,Wed Mar 18 12:44:56 +0800 2020,0,315,,"""坚持自己的热爱，花花世界，静守己心"""
ikun王木木,Wed Mar 18 12:44:55 +0800 2020,0,314,,"""蔡徐坤就是我的铠甲"""
开心的小我呗,Wed Mar 18 12:44:47 +0800 2020,0,311,,"""时间会证明一切"""
涐才不会被女孩子欺负,Wed Mar 18 12:43:26 +0800 2020,0,285,,""""""
小廖爱困,Wed Mar 18 12:43:12 +0800 2020,0,281,,"""来了"""
禁欲的守护神,Wed Mar 18 12:43:03 +0800 2020,0,276,,"""被他圈粉，永远不会太晚"""
会脸红的派大星,Wed Mar 18 12:42:58 +0800 2020,0,272,,"""转发微博"""
小坤坤belong蔡奎葵灬,Wed Mar 18 12:42:07 +0800 2020,0,262,,"""舞台就是证明他自己"""
余圈圈最爱Aoi酱,Wed Mar 18 12:41:25 +0800 2020,0,253,,"""时间会证明一切"""
金鱼是哥哥叫的鲸鱼呀,Wed Mar 18 12:40:42 +0800 2020,0,243,,""""""
辣妹不许留胡须,Wed Mar 18 12:40:14 +0800 2020,0,235,,"""Time Will Tell"""
一只小沙鸥,Wed Mar 18 12:39:55 +0800 2020,0,233,,"""作品和舞台！"""
七月慕葵,Wed Mar 18 12:39:31 +0800 2020,0,225,,"""是啊"""
吕泽涵0101,Wed Mar 18 12:39:03 +0800 2020,0,218,,"""蔡徐坤"""
时间证明一切坤,Wed Mar 18 12:39:02 +0800 2020,0,217,,"""蔡徐坤的作品是舞台"""
odet2011,Wed Mar 18 12:38:50 +0800 2020,0,214,,"""如果所有的谣言误解都要去一一回应，那么他就没有时间去完成他的作品，让时间去证明吧！"""
落樱k汐,Wed Mar 18 12:38:37 +0800 2020,0,207,,"""#青2青春制作人代表蔡徐坤# 永远寻求突破，永远不懈努力，最终成就闪耀的自己 蔡徐坤一直用作品说话！"""
被坤困住的美妞妈,Wed Mar 18 12:38:30 +0800 2020,0,204,,"""作品就是盔甲，时间会证明一切"""
奎葵籽油KUN,Wed Mar 18 12:37:00 +0800 2020,0,184,,"""你的作品就是舞台蔡徐坤加油"""
能当热干面的布丁,Wed Mar 18 12:34:35 +0800 2020,0,29,,"""坚持梦想"""
August墨蓝,Wed Mar 18 12:34:24 +0800 2020,0,24,,"""用作品说话的蔡徐坤"""
ZoSimOkkk,Wed Mar 18 12:34:05 +0800 2020,0,20,,""""""
只爱小小菜包,Wed Mar 18 12:33:37 +0800 2020,1,12,,""""""
爱吃花蔡还是爱吃蔡花,Wed Mar 18 12:37:45 +0800 2020,2,192,,"""作品是他最好的盔甲！！舞台就是你的作品！！"""
AK小菜曦瑶,Thu Mar 19 08:33:05 +0800 2020,1,1415,,"""时间证明一切"""
小J很高冷,Wed Mar 18 21:54:44 +0800 2020,1,1335,,"""用时间来证明一切。"""
一只可爱的小熊呀,Wed Mar 18 21:05:55 +0800 2020,1,1297,,""""""
ikun欣欣小猫咪,Wed Mar 18 17:48:39 +0800 2020,1,1088,,"""哇哦"""
白雪葵的七个小矮人,Wed Mar 18 16:25:06 +0800 2020,1,969,,"""🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万马来了🌈你的千军万"""
Kunsbabygirl蓝玫瑰,Wed Mar 18 15:02:48 +0800 2020,1,871,,"""作品就是最好的盔甲"""
搞笑旅行,Wed Mar 18 14:44:25 +0800 2020,1,847,,"""作品即是他最好的盔甲"""
August落落,Wed Mar 18 14:28:26 +0800 2020,1,817,,"""作品就是他最好的盔甲"""
多肉肉肉肉肉呀,Wed Mar 18 14:24:27 +0800 2020,1,807,,"""“不要急着回应所有的声音 你的舞台就是你的作品”"""
甜葵星球_,Wed Mar 18 14:07:00 +0800 2020,1,755,,"""作品就是他最好的盔甲"""
一丝温暖一缕阳光,Wed Mar 18 13:30:05 +0800 2020,1,647,,"""用作品说话"""
廉洁LAY,Wed Mar 18 13:28:46 +0800 2020,1,642,,"""花花世界静守己心"""
Tan的甜心葵,Wed Mar 18 13:23:41 +0800 2020,1,614,,"""不要着急回应所有的声音，你的舞台就是你的作品，@蔡徐坤 一直都在坚持着自己的热爱"""
盐甜奶酪葵,Wed Mar 18 12:49:11 +0800 2020,1,401,,"""作品就是他最好的盔甲"""
爱心妈咪0102,Wed Mar 18 12:47:39 +0800 2020,1,379,,"""时间会证明一切"""
Levana坤,Wed Mar 18 12:46:09 +0800 2020,1,339,,"""时间证明一切"""
莫茜蔹,Wed Mar 18 12:43:04 +0800 2020,1,277,,"""Kun一路成长，做最好的自己"""
萱很爱困,Wed Mar 18 12:42:43 +0800 2020,1,269,,"""作品就是你最好的盔甲，我们一直都在"""
坤的Sophy,Wed Mar 18 12:39:17 +0800 2020,1,224,,"""作品就是他最好的盔甲"""
IKUN晴羽,Wed Mar 18 12:38:21 +0800 2020,1,202,,"""作品是最好盔甲 时间会证明一切的"""
K葵味甜粥_T,Wed Mar 18 12:34:44 +0800 2020,1,32,,"""作品就是他最好的盔甲"""
