,Usename,Time,Like_count,Comments,blogger,weight,sentiments,isFan
36,是福猪陌陌吖,Wed Mar 18 12:34:57 +0800 2020,248,"""你的作品是舞台！不要着急回应所有的声音！[贊]""",fashion,124.0,0.4979100277564409,False
37,角角玺坤廷,Thu Mar 12 22:02:38 +0800 2020,231,"""你们赶紧去补偶练！！！！！偶练的男孩子都是宝藏！！！！！""",hld,115.5,0.6974236403821923,True
38,小葵花Akun,Thu Mar 12 22:17:47 +0800 2020,212,"""很优秀的制作人""",qnjf,106.0,0.971133990185105,True
39,高级德语,Thu Mar 12 22:03:22 +0800 2020,188,"""的确！pick到了！""",hld,94.0,0.5208111393519229,False
40,等雪等到困困,Fri Apr 03 01:05:41 +0800 2020,188,"""中间说一个什么？？然后就笑的很开心！""",xmtz,94.0,0.5005206972852737,True
41,cceeyy,Thu Mar 12 22:04:22 +0800 2020,186,"""我真的路转粉！他太温柔了！""",hld,93.0,0.8120412611485053,False
42,小猪无语惹,Wed Mar 18 12:34:31 +0800 2020,183,"""你的作品就是舞台""",fashion,91.5,0.8038947591273665,False
43,夏夜晚困,Fri Apr 03 01:12:43 +0800 2020,173,"""啊啊啊啊啊啊好甜！！是什么让一妙龄女子深夜在被窝甜到捂住嘴巴🙊🙊🙊""",xmtz,86.5,0.944794246652025,False
44,蔡K-,Thu Mar 12 22:17:50 +0800 2020,161,"""有种我家白菜被发现了的感觉""",qnjf,80.5,0.35410239880223127,False
45,困困喏·,Wed Mar 18 12:35:24 +0800 2020,156,"""作品是舞台，也是最好的盔甲@蔡徐坤""",fashion,78.0,0.9927537364852007,True
46,揪把菜菜惹,Thu Mar 12 22:10:07 +0800 2020,127,"""帅哥👌🏻""",hld,63.5,0.949780514996087,True
47,揪把菜菜惹,Thu Mar 12 22:10:07 +0800 2020,127,"""帅哥👌🏻  网页链接""",hld,63.5,0.8692405216594256,True
48,逐風執事,Wed Mar 18 12:35:35 +0800 2020,126,"""有热爱就无所畏惧""",fashion,63.0,0.9635950755874347,False
49,菀·_·IKUN,Wed Mar 18 12:33:24 +0800 2020,114,"""出道以来一直初心不变，坚持做音乐期待未来更多好作品""",fashion,57.0,0.9939643635108871,True
50,珍珠奶茶味儿的炸鸡,Thu Mar 12 21:53:07 +0800 2020,112,"""我真的ikun了！！！！""",hld,56.0,0.5601892106349763,False
51,小巫仙仙,Thu Mar 12 22:17:05 +0800 2020,103,"""这速度可以呀""",qnjf,51.5,0.75408426483233,False
52,蛋挞熟了吗,Thu Mar 12 21:58:57 +0800 2020,100,"""他好好看""",hld,50.0,0.6280659780296179,False
53,常靠谱ikun,Thu Mar 12 22:27:46 +0800 2020,98,"""存""",qnjf,49.0,0.4677966101694915,False
54,Cici茜茜公主-,Wed Mar 18 12:34:28 +0800 2020,97,"""“命运的礼物都有他的价格，而这个价格，我蔡徐坤付的起”目光清澈，活得通透，终有一天，你要的时光都会给你。@蔡徐坤 """,fashion,48.5,0.9999986530138556,False
55,人生的旅途sss,Fri Apr 03 01:07:10 +0800 2020,92,"""这是晚睡福利吗？我好想知道一开始比完🤫之后菜菜说了句啥然后笑得贼甜""",xmtz,46.0,0.7964693806386105,False
56,巨星KUN,Thu Mar 12 22:24:01 +0800 2020,92,"""不是开玩笑，是他重生了！""",hld,46.0,0.46088870507012447,True
57,AugustGilding-,Wed Mar 18 12:37:19 +0800 2020,75,"""作品就是他最好的铠甲""",fashion,37.5,0.8334676756007275,False
58,绢豆腐奶茶双份芝麻芋圆谢谢,Thu Mar 12 21:55:30 +0800 2020,70,"""又想起来前几天某些路人拿他挡枪，这位虽然有过一阵全网黑但自身人品经得起考验啊……""",hld,35.0,0.5296086270099443,False
