,Usename,Time,Like_count,Comments,blogger,sentiments,weight,isFan
34,是福猪陌陌吖,Thu Mar 12 13:02:35 +0800 2020,1479.0,"""文字版俺来了！新的一年高冷一点！（可以跟你生孩子嘛""",wyyl,0.8233872976150057,739.5,False
35,柠栀去洗头了,Sun Mar 15 13:36:16 +0800 2020,1294.0,"""新采访 我来了""",xlzy,0.7114413213686993,647.0,False
36,BEMYLION,Mon Mar 16 17:33:35 +0800 2020,1220.0,"""“娱乐圈是一个提供娱乐的环境，你喜欢就看，不喜欢就不看。”有些人就是觉得所有人都得符合他的喜好，不喜欢就要骂。这个网络环境太多杠精。""",xlyl,0.7915225586092186,610.0,False
37,爱K优恩的括弧笑,Sun Mar 15 13:36:23 +0800 2020,1192.0,"""哈哈哈哈哈哈他好可爱啊！！！""",xlzy,0.9956867752759386,596.0,False
38,菜叶奎葵,Thu Mar 12 20:04:29 +0800 2020,1133.0,"""别着急回应所有的声音，你的作品是舞台 期待蔡PD""",mgyl,0.9165489046628589,566.5,True
39,Crystal星盘塔罗,Mon Mar 16 17:33:37 +0800 2020,1080.0,"""现在看蔡徐坤，感觉很不错一少年啊""",xlyl,0.9832958053441033,540.0,False
40,CC张小兔,Thu Mar 12 13:02:41 +0800 2020,1050.0,"""文字版我爱了！！蔡pd真的超级棒""",wyyl,0.9943758886933141,525.0,False
41,·玖仟柒·,Thu Mar 26 19:46:25 +0800 2020,989.0,"""太可爱了迫不及待见到了""",wbzy,0.8959284919324931,494.5,False
42,高冷野女,Thu Mar 12 20:04:26 +0800 2020,983.0,"""凡青春之人，必以梦想为光！用音乐拉开梦想的弓箭，青春有你的制作人代表@蔡徐坤 将用丰富的经验，教授《青春有你2》的所有学员，该如何拉弓射箭，劈开自己的一片天！在梦想的道路上，每个用心的人都会迎来鲜花和掌声！""",mgyl,0.999999999938797,491.5,False
43,清汤少油不要葱,Sun Mar 15 13:36:38 +0800 2020,891.0,"""想看他示范女团舞""",xlzy,0.6978999258618327,445.5,False
44,L一Mil,Thu Mar 26 19:46:22 +0800 2020,889.0,"""哈哈哈哈哈哈 太可爱了待会不见不散""",wbzy,0.9828040360762322,444.5,False
45,AugustGilding-,Sun Mar 15 13:37:00 +0800 2020,863.0,"""新采访 来啦""",xlzy,0.7114413213686993,431.5,False
46,八月的小狮子冲呀,Mon Mar 16 17:32:45 +0800 2020,841.0,"""感谢ella对小蔡的照顾开导 小蔡很有压力但表现得很好 肯定没少下功夫""",xlyl,0.9999989818480916,420.5,True
47,当春乃发生·,Mon Mar 16 17:31:44 +0800 2020,789.0,"""ella真好""",xlyl,0.6357689371160968,394.5,False
48,新一海棠,Thu Mar 12 20:16:10 +0800 2020,768.0,"""五官无死角""",mgyl,0.6590334493534793,384.0,False
49,肉包里面全是菜,Thu Mar 12 13:02:55 +0800 2020,761.0,"""又可以更了解他了，喜欢这个专访。""",wyyl,0.4135428357166995,380.5,False
50,肉包里面全是菜,Thu Mar 12 13:02:55 +0800 2020,761.0,"""又可以更了解他了，喜欢这个专访。  网页链接""",wyyl,0.21587337508949456,380.5,False
51,刘爱坤Alan,Thu Mar 26 19:46:49 +0800 2020,742.0,"""太可爱了吧啊啊啊啊啊我在现场我差点昏倒""",wbzy,0.2063595804616135,371.0,True
52,老猫一点都不老,Mon Mar 16 17:31:36 +0800 2020,671.0,"""妈的 老子真的对蔡徐坤黑转粉了！！""",xlyl,0.9654764738603048,335.5,False
53,清水悠哉,Sun Mar 15 13:34:57 +0800 2020,648.0,"""哈哈，蔡pd超有梗，好可爱""",xlzy,0.9680542087347836,324.0,False
54,利不利害你坤哥,Thu Mar 12 20:04:51 +0800 2020,647.0,"""别着急回应其他的声音，你的作品是舞台蔡代表太棒了""",mgyl,0.9846559216454107,323.5,True
55,Sokkun,Thu Mar 26 19:46:24 +0800 2020,627.0,"""蔡PD好可爱呀""",wbzy,0.9671395530151912,313.5,False
56,清汤少油不要葱,Thu Mar 12 13:02:32 +0800 2020,597.0,"""蔡pd我来啦""",wyyl,0.8182313426953005,298.5,False
57,kunwannaget炫,Sun Mar 15 13:34:59 +0800 2020,583.0,"""你去便利店不都拎着三大袋回来的么蔡徐坤""",xlzy,0.2318317625248929,291.5,False
58,ikun张晓红,Sun Mar 15 13:36:28 +0800 2020,583.0,"""新采访我来啦！""",xlzy,0.6894109580969703,291.5,False
59,一心想睡困,Thu Mar 12 20:05:04 +0800 2020,568.0,"""不论是爱好还是特长，坚持自己所热爱的，做自己喜欢的事，是最棒的！""",mgyl,0.999033160762104,284.0,False
60,菀·_·IKUN,Thu Mar 12 13:02:54 +0800 2020,555.0,"""来了来了我来看小葵！  网页链接""",wyyl,0.6720984257511734,277.5,True
61,菀·_·IKUN,Thu Mar 12 13:02:54 +0800 2020,555.0,"""来了来了我来看小葵！""",wyyl,0.8400004324239958,277.5,True
62,Chestnut_Kun,Thu Mar 26 19:46:00 +0800 2020,551.0,"""蔡徐坤太可爱！！""",wbzy,0.87932581074958,275.5,False
63,蒸汽秋葵葵哟,Sun Mar 15 13:37:07 +0800 2020,509.0,"""哇专访来啦！看到就是赚到！蔡pd优秀""",xlzy,0.7263899815437458,254.5,True
64,蔡小葵的卷儿,Thu Mar 12 20:04:47 +0800 2020,490.0,"""做好准备的人一定会得到一颗糖。""",mgyl,0.36897153360040513,245.0,True
65,苏等等吖,Thu Mar 12 20:08:59 +0800 2020,475.0,"""蔡徐坤真的好温暖啊，好喜欢他不错！""",mgyl,0.9996335130547864,237.5,False
66,CC张小兔,Thu Mar 26 19:48:43 +0800 2020,445.0,"""哈哈哈被迫营业，蔡徐坤你也有今天""",wbzy,0.992953826608505,222.5,False
67,TNT2020年给我火,Mon Mar 16 17:31:47 +0800 2020,431.0,"""那些玩梗的真的很过分""",xlyl,0.4499272930820596,215.5,False
68,向沂可可,Thu Mar 12 20:04:14 +0800 2020,418.0,"""热爱无罪期待蔡PD 今晚八点不见不散@蔡徐坤""",mgyl,0.9979178446044354,209.0,False
69,知名口嗨少年,Thu Mar 12 21:02:12 +0800 2020,412.0,"""四个大字 🐔你太美""",mgyl,0.9344398272822397,206.0,False
