Usename,Time,Like_count,Floor_number,Sourse,Comments
莱瑞恩,Sun Apr 12 14:01:26 +0800 2020,47306,128,,"""宝宝！"""
徐坤蔡菜子,Sun Apr 12 14:02:07 +0800 2020,47753,4592,,"""你在的每一天都是夏天！！！"""
CozyCornerK,Sun Apr 12 14:01:56 +0800 2020,36234,2778,,"""哥哥"""
·限定小蔡·,Sun Apr 12 14:02:14 +0800 2020,34856,5737,,"""哇！！好帅"""
颂绯然,Sun Apr 12 14:02:42 +0800 2020,30196,10160,,"""我我我……还穿着羽绒服"""
葵奎睡不醒,Sun Apr 12 14:01:57 +0800 2020,28681,3090,,"""哇"""
5g少女_,Sun Apr 12 14:02:47 +0800 2020,27656,10869,,"""防晒该用起来了"""
MOLSION陌森眼镜,Sun Apr 12 14:10:38 +0800 2020,24796,45313,,"""是的！夏日炎炎，坤坤戴上小陌做好防晒哦～"""
只是叭呐呐,Sun Apr 12 14:01:20 +0800 2020,25221,7,,"""是的！！！！！！"""
陆叶祺养猪了,Sun Apr 12 14:01:20 +0800 2020,20917,10,,"""蔡皮弟我来了啊！！！最近太帅气了啊！！！新歌循环中！好喜欢！我爱你我爱你工作辛苦！照顾好自己！"""
777ism,Sun Apr 12 14:02:00 +0800 2020,17277,3448,,"""没有错！！！！"""
五农诗亓,Sun Apr 12 14:02:17 +0800 2020,15336,6118,,"""啊啊啊啊啊啊啊是的宝贝"""
夜知八音空格_,Sun Apr 12 14:02:24 +0800 2020,14997,7296,,"""啊啊啊哥哥"""
Christine·胖珊,Sun Apr 12 14:02:20 +0800 2020,14074,6721,,"""宝贝！"""
坤子哥的芹菜炒肉,Sun Apr 12 14:02:39 +0800 2020,13049,9572,,"""哥哥"""
叫阿珂的ikun,Sun Apr 12 14:01:22 +0800 2020,12893,27,,"""是的，想约会了"""
Crystal-kunnnnn,Sun Apr 12 14:02:56 +0800 2020,11952,12053,,"""啊啊啊我来了哥哥我想你"""
草莓酱派小荀,Sun Apr 12 14:02:17 +0800 2020,11073,6304,,"""夏天来了🙊"""
白久味的千文,Sun Apr 12 14:02:49 +0800 2020,9708,11151,,"""期待与你的夏天"""
吃菜yaa,Sun Apr 12 14:02:58 +0800 2020,9544,12331,,"""是呀！"""
占怹mobo8,Sun Apr 12 14:03:10 +0800 2020,7653,13891,,"""哥哥好帅@蔡徐坤"""
原来是蔡小葵呀,Sun Apr 12 14:03:33 +0800 2020,7731,16868,,"""可以看肉肉了哦宝贝@蔡徐坤"""
川晔禾刀就是Libra,Sun Apr 12 14:03:06 +0800 2020,5802,13330,,"""哇哦！！！"""
我爱陈雨舟,Sun Apr 12 14:03:26 +0800 2020,5868,15946,,"""我爱你！！！！！！！！！！！！！"""
蔚丨ikun,Sun Apr 12 14:03:20 +0800 2020,5917,15159,,"""就喜欢这样干净清爽的少年样"""
寂寞如随,Sun Apr 12 14:04:16 +0800 2020,5150,21959,,"""广州不是早就很热了吗"""
想遇见你好难,Sun Apr 12 14:04:18 +0800 2020,4743,22036,,"""夏天快到啦！广州会比较热，宝贝要照顾好自己啊！"""
啦啦哒哒本人,Sun Apr 12 14:03:41 +0800 2020,4491,17925,,"""啊啊啊啊啊想你"""
小冰激灵,Sun Apr 12 14:04:22 +0800 2020,4130,22483,,"""好像是耶~"""
葵牌巧克力,Sun Apr 12 14:06:07 +0800 2020,4262,30831,,"""实话告诉你我现在还穿着加绒卫衣因为衣服还在学校哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"""
穆勒女票,Sun Apr 12 14:01:36 +0800 2020,3524,604,,"""宝贝想你！"""
徐念kk,Sun Apr 12 14:08:17 +0800 2020,3426,38698,,"""记住这个更博速度，以后就按这个来"""
蔡小呆0802,Sun Apr 12 14:03:35 +0800 2020,3056,17057,,"""斜风轻度浓香，闲情正与春长"""
_奶芙可可_,Sun Apr 12 14:03:24 +0800 2020,2069,15660,,"""快到了，宝贝"""
鹿眸仙厥,Sun Apr 12 14:04:17 +0800 2020,2064,22031,,"""夏天到了，你的生日也快了哦"""
一颗苹果www,Sun Apr 12 14:07:17 +0800 2020,1975,35233,,"""整个夏天想和你环游世界🏝🎡"""
我太难了-A,Sun Apr 12 14:14:37 +0800 2020,1765,53594,,"""对滴 所以高丝防晒值得你拥有"""
星梦芸糖,Sun Apr 12 14:04:34 +0800 2020,1706,23646,,"""可是我的作业还是没有写完"""
范范-侨洲,Sun Apr 12 14:06:22 +0800 2020,1652,31880,,"""饱饱你好白好嫩呀"""
坐在台下的小猫咪,Sun Apr 12 14:04:00 +0800 2020,1553,20222,,"""哥哥！！！！"""
82号奎葵餐厅·,Sun Apr 12 14:06:49 +0800 2020,1554,33573,,"""啊啊啊啊啊啊啊啊啊"""
蔡徐坤的沈熙,Sun Apr 12 14:03:42 +0800 2020,1343,18010,,"""哥哥！！你来了！！！"""
喜欢小狮子的猫,Sun Apr 12 14:04:00 +0800 2020,1756,20288,,"""好期待可以见到宝贝的日子"""
许多自然卷卷,Sun Apr 12 14:09:23 +0800 2020,1139,42022,,"""是的是的！短裤可以安排了 宝贝！"""
超级无敌大帅哥KUN,Sun Apr 12 14:01:25 +0800 2020,1218,79,,"""啊啊啊啊啊啊宝贝！！！"""
徐风大大,Sun Apr 12 14:04:57 +0800 2020,1114,25591,,"""你怎么可以这么瘦！比我还瘦！让我咋办啊？！"""
陌流兮19980802,Sun Apr 12 14:03:31 +0800 2020,993,16582,,"""啊啊啊啊啊啊啊啊啊啊，好帅"""
心怀葵胎,Sun Apr 12 14:03:24 +0800 2020,846,15624,,"""老公啊啊啊啊啊啊啊！"""
徐坤的小彤,Sun Apr 12 14:03:36 +0800 2020,817,17215,,"""快到了！！"""
一口菜包,Sun Apr 12 14:01:52 +0800 2020,1295,2299,,"""想死你了宝贝！！！！！"""
菜菜小狮几,Sun Apr 12 14:14:24 +0800 2020,768,53196,,"""夏天真的要来了，记得带防晒哦"""
YB8516,Sun Apr 12 14:05:37 +0800 2020,743,28730,,"""最近是微博当朋友圈了吗"""
