Usename,Time,Like_count,Floor_number,Sourse,Comments
踮起脚尖亲小葵a,Mon Apr 06 23:56:56 +0800 2020,75121,5248,,"""两周年快乐辛苦了"""
陆叶祺养猪了,Mon Apr 06 23:56:36 +0800 2020,59733,4,,"""宝贝啊！两周年快乐两年时间身份的转变我太感慨了啊！无论是训练生还是蔡屁滴！你都做得很好！你好优秀！你一定会得到很多颗糖🍬因为努力一定会被看到未来还有很多年！我们还要一起！工作累坏了吧！辛苦了！好好休息"""
野則恋困,Mon Apr 06 23:56:57 +0800 2020,54297,5434,,"""辛苦了多休息"""
甜品狙擊,Mon Apr 06 23:56:37 +0800 2020,44917,64,,"""宝宝出道两周年快乐疫情期间带好口罩保护好自己等春暖花开的时候好好的见面！早点休息😴晚安"""
只是叭呐呐,Mon Apr 06 23:56:37 +0800 2020,45920,62,,"""两周年快乐！好好休息"""
想小坤啦,Mon Apr 06 23:57:07 +0800 2020,33103,9221,,"""去休息啊哥哥啊啊"""
8月2日出生的鲨咪叫小葵,Mon Apr 06 23:57:13 +0800 2020,29913,11571,,"""两年我们一直在 以后也一定会在@蔡徐坤"""
小葵幼稚园,Mon Apr 06 23:57:12 +0800 2020,25320,11240,,"""好好休息好好休息好好休息好好休息好好休息好好休息"""
兮沫菜菜,Mon Apr 06 23:57:00 +0800 2020,24338,6624,,"""两周年快乐你终于来了啊啊啊啊啊啊啊"""
小咕咚喝水,Mon Apr 06 23:56:45 +0800 2020,22309,1582,,"""啊啊啊两周年快乐"""
南笙旧梦--0802,Mon Apr 06 23:57:08 +0800 2020,19156,9427,,"""猪鼓励出道二周年快乐鸭！！！"""
欢迎彩小猪来到米奇妙妙屋,Mon Apr 06 23:56:36 +0800 2020,18390,18,,"""祝宝贝菜菜出道两周年快乐(ؑᵒᵕؑ̇ᵒ)◞✧未来也一起走吧！！我们还要过好多好多纪念日呀~~🥰🥰🥰"""
代表月亮消灭菜黑_,Mon Apr 06 23:57:19 +0800 2020,17644,13924,,"""宝宝出道快乐哦"""
everything葵,Mon Apr 06 23:57:35 +0800 2020,14005,19822,,"""早点休息吧 晚安晚安"""
tfjustincc,Mon Apr 06 23:57:03 +0800 2020,13855,7750,,"""坤坤两周年快乐"""
叫阿珂的ikun,Mon Apr 06 23:56:38 +0800 2020,13169,129,,"""谢谢小坤，两周年快乐！四季交替的两个轮回里，一场场雪落下，一次次金海翻腾。到达和出发，跌倒和重生都不鲜见：等待和拼搏，隐忍和对抗一如既往。这个故事好长，一起走下去吧，你不必从梦中醒来💛"""
305seven--郑伟玲vilin,Mon Apr 06 23:57:22 +0800 2020,11396,14948,,"""想你了，你辛苦了，要好好照顾自己，晚安，早点休息"""
格山海,Mon Apr 06 23:57:18 +0800 2020,10115,13617,,"""宝贝儿两周年快乐啊"""
May_Kunmi,Mon Apr 06 23:56:38 +0800 2020,10201,182,,"""辛苦啦出道两周年快乐呀，以后也要一起走下去哦"""
